name,lon,lat,elev
GSNP_CD,-83.49473456,35.56538919,1910
GSNP_ND,-83.47642007,35.56425675,1698
CW_118,-83.43414748,35.05106048,786
CW_218,-83.4341565,35.04846369,807
CW_318,-83.43412878,35.04727518,872
CW_427,-83.45996139,35.03854277,1101
CW_527,-83.46190542,35.03105002,1395
CW_LG,-83.45769918,35.04254593,1033
CW_UG,-83.46121325,35.03840716,1137
MH_F,-82.55629159,35.82589846,705
MH_P,-82.55070058,35.82211232,758
DF_HW,-79.09646955,35.97656481,166
DF_EW,-79.07056369,36.03430002,179
DF_BW,-79.09296768,35.98440743,170
DF_EE,-79.06522584,36.03477301,153
GSNP_PK,-83.0806904,35.58765169,1422
HF_S,-78.21741747,42.46490148,69
HF_BW,-78.17571408,42.48243413,95
